experiment_id,material,process,property_name,value,unit,trend,method,year,source_document_id,source_locator,source_quote,confidence,notes
EXP001,Комсомольский рудный массив,измерение НДС,уровень напряжений,high,index,increase,натурное наблюдение,2025,DOC001,стр. 14,"Результаты измерений напряженно-деформированного состояния показали повышенный уровень напряжений в северной части массива.",0.82,Curated from source title and demo case context
EXP002,Комсомольский рудный массив,измерение НДС,плотность наблюдений,medium,index,stable,техсовет,2025,DOC002,стр. 8,"Материалы техсовета фиксируют программу измерений напряженно-деформированного состояния и плотность наблюдений по участкам массива.",0.78,Monitoring coverage row
EXP003,Комсомольский рудный массив,блочное моделирование,качество модели,validated,index,increase,ГГИС модель,2025,DOC003,стр. 11,"Блочная геомеханическая модель используется для сопоставления расчетных зон напряжений с данными наблюдений.",0.8,Model reliability row
EXP004,рудоспуск,геомеханическая оценка,риск деформаций,medium,index,increase,технический совет,2025,DOC004,стр. 6,"На техсовете по геомеханике рудоспуски выделены как зона повышенного риска деформаций и требующая контроля.",0.75,Orepass risk row
EXP005,горный массив,прогноз концентраций,вероятность концентрации напряжений,high,index,increase,прогнозная модель,2025,DOC005,стр. 9,"Прогнозная модель выделяет участки возможной концентрации напряжений в массиве горных пород.",0.76,Stress concentration row
EXP006,Комсомольский рудный массив,контроль НДС,порог предупреждения,defined,flag,stable,экспертное правило,2025,DOC002,стр. 12,"Для контроля напряженно-деформированного состояния предложены пороги предупреждения и правила эскалации наблюдений.",0.72,Rule-based warning threshold
EXP007,горный массив,обучение геомеханике,терминологическая согласованность,medium,index,stable,методический материал,2025,DOC006,стр. 4,"Учебные материалы по геомеханике задают терминологию для описания напряжений и деформаций горного массива.",0.7,Terminology source row
EXP008,рудник 2025,планирование горных работ,приоритет мониторинга,high,index,increase,проектная презентация,2025,DOC007,стр. 5,"В плане Рудник 2025 мониторинг геомеханических рисков указан как приоритет для безопасного ведения работ.",0.73,Planning priority row
EXP009,Комсомольский рудный массив,блочное моделирование,связь с наблюдениями,partial,flag,stable,сопоставление,2025,DOC003,стр. 13,"Связь блочной модели с натурными наблюдениями описана частично и требует дополнительной валидации.",0.69,Weak evidence candidate
EXP010,рудоспуск,измерение НДС,фактические замеры,missing,flag,unknown,gap analysis,2025,DOC004,стр. 7,"Для рудоспусков обозначена необходимость фактических замеров напряженно-деформированного состояния, но сами результаты не приведены.",0.66,Gap candidate for orepass direct measurements
EXP011,горный массив,прогноз концентраций,верификация прогноза,missing,flag,unknown,gap analysis,2025,DOC005,стр. 10,"Для прогноза концентрации напряжений указана потребность в проверке на фактических данных наблюдений.",0.65,Gap candidate for prediction validation
EXP012,горная геомеханика,обзор литературы,актуальность методик,recent,flag,stable,журнальный обзор,2026,DOC008,стр. 3,"Свежий обзор в горном журнале подтверждает актуальность методов геомеханического мониторинга и анализа напряжений.",0.68,Recent background row
